[20:59:45] --- Logging Initialized for main.py ---
[20:59:45] Log file: logs/main.py@2026-01-28_20-59-45.log
[20:59:45] Fitting 5 folds for each of 50 candidates, totalling 250 fits
[20:59:56] ========== Model Features =========
[20:59:56] Air temperature [K]
[20:59:56] Process temperature [K]
[20:59:56] Rotational speed [rpm]
[20:59:56] Torque [Nm]
[20:59:56] Tool wear [min]
[20:59:56] Air temperature [K]_Rolling_Mean
[20:59:56] Air temperature [K]_Volatility
[20:59:56] Air temperature [K]_Delta
[20:59:56] Process temperature [K]_Rolling_Mean
[20:59:56] Process temperature [K]_Volatility
[20:59:56] Process temperature [K]_Delta
[20:59:56] Rotational speed [rpm]_Rolling_Mean
[20:59:56] Rotational speed [rpm]_Volatility
[20:59:56] Rotational speed [rpm]_Delta
[20:59:56] Torque [Nm]_Rolling_Mean
[20:59:56] Torque [Nm]_Volatility
[20:59:56] Torque [Nm]_Delta
[20:59:56] Tool wear [min]_Rolling_Mean
[20:59:56] Tool wear [min]_Volatility
[20:59:56] Tool wear [min]_Delta
[20:59:56] Power_Factor_Rolling

[20:59:56] === Model Evaluation (Test Set) ===
[20:59:56] ROC-AUC score :0.897
[20:59:56] risk_tolerance used : 0.095
[20:59:56] TP: 32 | FP: 554
[20:59:56] FN: 7 | TN: 1407

[20:59:56] Rates:
[20:59:56] Recall (TPR) : 0.821
[20:59:56] Precision    : 0.055
[20:59:56] False PosRate: 0.283
[20:59:56] ====================================
[20:59:56] Loaded RiskEvalModel from disk.
[20:59:56] Loaded classifier for TWF
[20:59:56] Loaded classifier for HDF
[20:59:56] Loaded classifier for PWF
[20:59:56] Loaded classifier for OSF
[20:59:56] All models ready.
[20:59:56] Step   | Risk Prob  | Alert      | Diagnosis
[20:59:56] ------------------------------------------------------------
[20:59:56] 1      | 0.1386     | HEALTHY    | None
[20:59:56] 2      | 0.1081     | HEALTHY    | None
[20:59:56] 3      | 0.0227     | HEALTHY    | None
[20:59:56] 4      | 0.8791     | CRITICAL   | PWF
[20:59:56] 5      | 0.1871     | HEALTHY    | None
[20:59:56] 6      | 0.0410     | HEALTHY    | None
[20:59:56] 7      | 0.1931     | HEALTHY    | None
[20:59:56] 8      | 0.0149     | HEALTHY    | None
[20:59:56] 9      | 0.0265     | HEALTHY    | None
[20:59:56] 10     | 0.1961     | HEALTHY    | None
[20:59:56] 11     | 0.8466     | CRITICAL   | OSF
[20:59:56] 12     | 0.2319     | HEALTHY    | None
[20:59:56] 13     | 0.8543     | CRITICAL   | OSF
[20:59:56] 14     | 0.5177     | WARNING    | OSF
[20:59:56] 15     | 0.1848     | HEALTHY    | None
[20:59:56] 16     | 0.0582     | HEALTHY    | None
[20:59:56] 17     | 0.0668     | HEALTHY    | None
[20:59:56] 18     | 0.0617     | HEALTHY    | None
[20:59:56] 19     | 0.0450     | HEALTHY    | None
[20:59:56] 20     | 0.1258     | HEALTHY    | None
[20:59:56] 21     | 0.0369     | HEALTHY    | None
[20:59:56] 22     | 0.0323     | HEALTHY    | None
[20:59:56] 23     | 0.2156     | HEALTHY    | None
[20:59:56] 24     | 0.1435     | HEALTHY    | None
[20:59:56] 25     | 0.1436     | HEALTHY    | None
[20:59:56] 26     | 0.6140     | WARNING    | OSF
[20:59:56] 27     | 0.4180     | HEALTHY    | None
[20:59:56] 28     | 0.2354     | HEALTHY    | None
[20:59:56] 29     | 0.1845     | HEALTHY    | None
[20:59:56] 30     | 0.0061     | HEALTHY    | None
[20:59:56] 31     | 0.0107     | HEALTHY    | None
[20:59:56] 32     | 0.0022     | HEALTHY    | None
[20:59:56] 33     | 0.0278     | HEALTHY    | None
[20:59:56] 34     | 0.0033     | HEALTHY    | None
[20:59:56] 35     | 0.0036     | HEALTHY    | None
[20:59:56] 36     | 0.0024     | HEALTHY    | None
[20:59:56] 37     | 0.0366     | HEALTHY    | None
[20:59:56] 38     | 0.0084     | HEALTHY    | None
[20:59:56] 39     | 0.0385     | HEALTHY    | None
[20:59:56] 40     | 0.0028     | HEALTHY    | None
