[19:27:20] --- Session Reset ---
[19:27:22] --- Session Reset ---
[19:27:24] --- Session Reset ---
[19:27:26] --- Session Reset ---
[19:27:28] --- Session Reset ---
[19:27:30] --- Session Reset ---
[19:27:32] --- Session Reset ---
[19:27:34] --- Session Reset ---
[19:27:36] --- Session Reset ---
[19:27:38] --- Session Reset ---
[19:27:40] --- Session Reset ---
[19:27:42] --- Session Reset ---
[19:27:44] --- Session Reset ---
[19:27:46] --- Session Reset ---
[19:27:48] --- Session Reset ---
[19:27:50] --- Session Reset ---
[19:27:52] --- Session Reset ---
[19:27:54] --- Session Reset ---
[19:27:56] --- Session Reset ---
[19:27:58] --- Session Reset ---
[19:28:00] --- Session Reset ---
[19:28:02] --- Session Reset ---
[19:28:04] --- Session Reset ---
[19:28:06] --- Session Reset ---
[19:28:08] --- Session Reset ---
[19:28:10] --- Session Reset ---
[19:28:12] --- Session Reset ---
[19:28:14] --- Session Reset ---
[19:28:16] --- Session Reset ---
[19:28:18] --- Session Reset ---
[19:28:20] --- Session Reset ---
[19:28:22] --- Session Reset ---
[19:28:26] --- Session Reset ---
[19:28:29] --- Session Reset ---
[19:28:31] --- Session Reset ---
[19:28:33] --- Session Reset ---
[19:28:37] --- Session Reset ---
[19:28:40] --- Session Reset ---
[19:28:42] --- Session Reset ---
[19:28:44] --- Session Reset ---
[19:29:01] --- Session Reset ---
[19:29:02] Step 1   | Risk: 0.0181 | Alert: HEALTHY  | Failure: None            | Air: 300.3 | ProcT: 310.4 | RPM: 1550 | Torque: 38.0 | Wear: 54
[19:29:03] Step 2   | Risk: 0.0158 | Alert: HEALTHY  | Failure: None            | Air: 300.3 | ProcT: 310.3 | RPM: 1547 | Torque: 38.0 | Wear: 50
[19:29:05] Step 3   | Risk: 0.0240 | Alert: HEALTHY  | Failure: None            | Air: 300.5 | ProcT: 310.4 | RPM: 1547 | Torque: 38.0 | Wear: 60
[19:29:06] Step 4   | Risk: 0.0386 | Alert: HEALTHY  | Failure: None            | Air: 300.6 | ProcT: 310.6 | RPM: 1549 | Torque: 38.0 | Wear: 67
[19:29:08] Step 5   | Risk: 0.0429 | Alert: HEALTHY  | Failure: None            | Air: 300.5 | ProcT: 310.5 | RPM: 1546 | Torque: 38.0 | Wear: 62
[19:29:09] --- Session Reset ---
[19:29:09] Step 1   | Risk: 0.0261 | Alert: HEALTHY  | Failure: None            | Air: 300.6 | ProcT: 310.5 | RPM: 1552 | Torque: 38.0 | Wear: 66
[19:29:11] Step 2   | Risk: 0.0131 | Alert: HEALTHY  | Failure: None            | Air: 298.8 | ProcT: 310.2 | RPM: 1459 | Torque: 40.6 | Wear: 50
[19:29:11] Step 3   | Risk: 0.0471 | Alert: HEALTHY  | Failure: None            | Air: 300.5 | ProcT: 310.5 | RPM: 1548 | Torque: 38.0 | Wear: 63
[19:29:12] Step 4   | Risk: 0.0390 | Alert: HEALTHY  | Failure: None            | Air: 300.6 | ProcT: 308.6 | RPM: 1486 | Torque: 40.7 | Wear: 52
[19:29:13] Step 5   | Risk: 0.2966 | Alert: HEALTHY  | Failure: None            | Air: 300.5 | ProcT: 310.5 | RPM: 1548 | Torque: 38.0 | Wear: 64
